aaba	æː b æ
imaginative	i m æ ɡ i n æ t i e
imam	i m æ m
iman	i m æ n
imbaroodiyadii	i m b æ r ɔː d i j æ d iː
imbayrka	i m b æ j r k æ
imbiraadooriyada	i m b i r æː d ɔː r i j æ d æ
imboulou	i m b ɔ u l ɔ u
imdb	i m d b
imf	i m f
img	i m ɡ
immamu	i m m æ m u
imo	i m ɔ
imperial	i m e r i æ l
implosion	i m l ɔ s i ɔ n
imtixaan	i m t i ħ æː n
in	i n
ina	i n æ
inaan	i n æː n
inanlayaal	i n æ n l æ j æː l
inc	i n ʕ
inca	i n ʕ æ
incertae	i n ʕ e r t æ e
incheon	i n ʕ h e ɔ n
incirlik	i n ʕ i r l i k
inclination	i n ʕ l i n æ t i ɔ n
inda	i n d æ
indebelega	i n d e b e l e ɡ æ
independence	i n d e e n d e n ʕ e
indhabadan	i n ɖ æ b æ d æ n
indhaddaalis	i n ɖ æ d d æː l i s
indhadeero	i n ɖ æ d eː r ɔ
indhafiiqid	i n ɖ æ f iː q i d
indhaha	i n ɖ æ h æ
indho	i n ɖ ɔ
indhobuur	i n ɖ ɔ b uː r
indhoolayaasha	i n ɖ ɔː l æ j æː ʃ æ
indhoole	i n ɖ ɔː l e
india	i n d i æ
indian	i n d i æ n
indiana	i n d i æ n æ
indiya	i n d i j æ
indo	i n d ɔ
indonesia	i n d ɔ n e s i æ
indonesian	i n d ɔ n e s i æ n
induniisi	i n d u n iː s i
indunisi	i n d u n i s i
indunisiya	i n d u n i s i j æ
industries	i n d u s t r i e s
inez	i n e
infiig	i n f iː ɡ
infopankki	i n f ɔ æ n k k i
infragaduud	i n f r æ ɡ æ d uː d
ing	i n ɡ
inga	i n ɡ æ
ingariska	i n ɡ æ r i s k æ
inger	i n ɡ e r
ingersoll	i n ɡ e r s ɔ l l
ingiriis	i n ɡ i r iː s
ingiriisi	i n ɡ i r iː s i
ingiriiska	i n ɡ i r iː s k æ
inglish	i n ɡ l i ʃ
ingram	i n ɡ r æ m
ingriis	i n ɡ r iː s
ingriiska	i n ɡ r iː s k æ
ingris	i n ɡ r i s
inhame	i n h æ m e
ini	i n i
iniin	i n iː n
inistigaram	i n i s t i ɡ æ r æ m
initiation	i n i t i æ t i ɔ n
injamiina	i n d͡ʒ æ m iː n æ
injiil	i n d͡ʒ iː l
injineerinka	i n d͡ʒ i n eː r i n k æ
injir	i n d͡ʒ i r
inkishaariyiinta	i n k i ʃ æː r i j iː n t æ
inko	i n k ɔ
inn	i n n
innes	i n n e s
inojie	i n ɔ d͡ʒ i e
inqilaab	i n q i l æː b
inqilaabkii	i n q i l æː b k iː
insaan	i n s æː n
insaanka	i n s æː n k æ
insaykalobeedhiya	i n s æ j k æ l ɔ b eː ɖ i j æ
instagram	i n s t æ ɡ r æ m
instinct	i n s t i n ʕ t
institut	i n s t i t u t
institute	i n s t i t u t e
instituto	i n s t i t u t ɔ
instyle	i n s t j l e
inta	i n t æ
intee	i n t eː
integration	i n t e ɡ r æ t i ɔ n
inter	i n t e r
intercontinental	i n t e r ʕ ɔ n t i n e n t æ l
interlingua	i n t e r l i n ɡ u æ
interlingue	i n t e r l i n ɡ u e
intermac	i n t e r m æ ʕ
international	i n t e r n æ t i ɔ n æ l
internazionale	i n t e r n æ i ɔ n æ l e
internet	i n t e r n e t
internetka	i n t e r n e t k æ
intezaar	i n t e æː r
intifaada	i n t i f æː d æ
inuwa	i n u w æ
invariable	i n æ r i æ b l e
inwang	i n w æ n ɡ
io	i ɔ
ioan	i ɔ æ n
iodine	i ɔ d i n e
iogolevitch	i ɔ ɡ ɔ l e i t ʕ h
ionic	i ɔ n i ʕ
iora	i ɔ r æ
ios	i ɔ s
ip	i
ipa	i æ
ipae	i æ e
ipcc	i ʕ ʕ
iphone	i h ɔ n e
iptn	i t n
iqhiya	i q h i j æ
iquitos	i q u i t ɔ s
ir	i r
iraan	i r æː n
iram	i r æ m
iran	i r æ n
iraq	i r æ q
ireland	i r e l æ n d
iren	i r e n
irene	i r e n e
iridium	i r i d i u m
iridiyaam	i r i d i j æː m
irimajiri	i r i m æ d͡ʒ i r i
irina	i r i n æ
iringa	i r i n ɡ æ
iriqui	i r i q u i
irir	i r i r
iris	i r i s
irish	i r i ʃ
irizar	i r i æ r
irma	i r m æ
iro	i r ɔ
iron	i r ɔ n
irshida	i r ʃ i d æ
is	i s
isa	i s æ
isaac	i s æː ʕ
isaaq	i s æː q
isaaqnimo	i s æː q n i m ɔ
isabela	i s æ b e l æ
isabeli	i s æ b e l i
isabella	i s æ b e l l æ
isaias	i s æ i æ s
isaxaaq	i s æ ħ æː q
isbaaheysiga	i s b æː h e j s i ɡ æ
isbaanish	i s b æː n i ʃ
isbaaniya	i s b æː n i j æ
isbadalka	i s b æ d æ l k æ
isbahaysiga	i s b æ h æ j s i ɡ æ
isbania	i s b æ n i æ
isbanish	i s b æ n i ʃ
isbartiibo	i s b æ r t iː b ɔ
isbayn	i s b æ j n
isbeddelka	i s b e d d e l k æ
isbitaal	i s b i t æː l
isbitaalka	i s b i t æː l k æ
isdilka	i s d i l k æ
isdirgalmood	i s d i r ɡ æ l m ɔː d
iseland	i s e l æ n d
isgaadhsiin	i s ɡ æː ɖ s iː n
isgaadhsiinta	i s ɡ æː ɖ s iː n t æ
isgaariinta	i s ɡ æː r iː n t æ
isgaarsiin	i s ɡ æː r s iː n
isgaarsiinta	i s ɡ æː r s iː n t æ
isgarashada	i s ɡ æ r æ ʃ æ d æ
isha	i ʃ æ
ishaya	i ʃ æ j æ
ishiba	i ʃ i b æ
ishmael	i ʃ m æ e l
ishola	i ʃ ɔ l æ
ishq	i ʃ q
isii	i s iː
isime	i s i m e
isimtooyada	i s i m t ɔː j æ d æ
isirayn	i s i r æ j n
isirka	i s i r k æ
isirudhaleen	i s i r u ɖ æ l eː n
iskaa	i s k æː
iskaandhiyaam	i s k æː n ɖ i j æː m
iskandanefiyan	i s k æ n d æ n e f i j æ n
iskandar	i s k æ n d æ r
iskanderun	i s k æ n d e r u n
iskiis	i s k iː s
iskiitsofiriiniya	i s k iː t s ɔ f i r iː n i j æ
iskool	i s k ɔː l
iskotland	i s k ɔ t l æ n d
isku	i s k u
iskudhis	i s k u ɖ i s
iskudhufasho	i s k u ɖ u f æ ʃ ɔ
iskudubbarid	i s k u d u b b æ r i d
iskugeyn	i s k u ɡ e j n
iskukaris	i s k u k æ r i s
iskumicne	i s k u m i ʕ n e
iskuqaybin	i s k u q æ j b i n
iskuqeybin	i s k u q e j b i n
iskushuban	i s k u ʃ u b æ n
iskuulka	i s k uː l k æ
iskuxidhka	i s k u ħ i ɖ k æ
isla	i s l æ
islaam	i s l æː m
islaamiga	i s l æː m i ɡ æ
islaamiya	i s l æː m i j æ
islaamka	i s l æː m k æ
islaamofoobiya	i s l æː m ɔ f ɔː b i j æ
islam	i s l æ m
islamic	i s l æ m i ʕ
islamka	i s l æ m k æ
island	i s l æ n d
islander	i s l æ n d e r
islands	i s l æ n d s
islii	i s l iː
islofaakiya	i s l ɔ f æː k i j æ
islofeeniya	i s l ɔ f eː n i j æ
isloveeniya	i s l ɔ eː n i j æ
isma	i s m æ
ismaaciil	i s m æː ʕ iː l
ismaaciiliya	i s m æː ʕ iː l i j æ
ismaacil	i s m æː ʕ i l
ismaamulka	i s m æː m u l k æ
ismaciil	i s m æ ʕ iː l
ismail	i s m æ i l
ismidaamin	i s m i d æː m i n
ismiidaamin	i s m iː d æː m i n
isnidaamis	i s n i d æː m i s
isniin	i s n iː n
iso	i s ɔ
isong	i s ɔ n ɡ
isotope	i s ɔ t ɔ e
isqanbuus	i s q æ n b uː s
isqarxinta	i s q æ r ħ i n t æ
israa	i s r æː
israael	i s r æː e l
israafiil	i s r æː f iː l
israaiil	i s r æː iː l
israel	i s r æ e l
issa	i s s æ
issoufou	i s s ɔ u f ɔ u
issue	i s s u e
istanbul	i s t æ n b u l
istanbuul	i s t æ n b uː l
istaratigaraafi	i s t æ r æ t i ɡ æ r æː f i
istareex	i s t æ r eː ħ
isticmaalka	i s t i ʕ m æː l k æ
isticmaarka	i s t i ʕ m æː r k æ
istoroontiyaam	i s t ɔ r ɔː n t i j æː m
istuska	i s t u s k æ
isu	i s u
isuduwaha	i s u d u w æ h æ
isuduwe	i s u d u w e
isuzu	i s u u
isweedhan	i s w eː ɖ æ n
iswidhan	i s w i ɖ æ n
iswidhen	i s w i ɖ e n
iswiidhan	i s w iː ɖ æ n
iswiidhishka	i s w iː ɖ i ʃ k æ
iswiisarland	i s w iː s æ r l æ n d
iswiizerlaan	i s w iː e r l æː n
iswisarlan	i s w i s æ r l æ n
iswisarland	i s w i s æ r l æ n d
isxaaq	i s ħ æː q
it	i t
itaala	i t æː l æ
italia	i t æ l i æ
italian	i t æ l i æ n
italy	i t æ l j
itasy	i t æ s j
itc	i t ʕ
itch	i t ʕ h
item	i t e m
iternational	i t e r n æ t i ɔ n æ l
itga	i t ɡ æ
itimaal	i t i m æː l
ito	i t ɔ
itobiya	i t ɔ b i j æ
itoobiya	i t ɔː b i j æ
itriyaam	i t r i j æː m
itzy	i t j
iu	i u
iv	i
ive	i e
ivie	i i e
ivkov	i k ɔ
ivoire	i ɔ i r e
ivory	i ɔ r j
ivy	i j
iwara	i w æ r æ
iwawa	i w æ w æ
iyabo	i j æ b ɔ
iyagoo	i j æ ɡ ɔː
iyke	i j k e
iyo	i j ɔ
izaar	i æː r
izz	i
ja	d͡ʒ æ
jaabir	d͡ʒ æː b i r
jaad	d͡ʒ æː d
jaafar	d͡ʒ æː f æ r
jaah	d͡ʒ æː h
jaahil	d͡ʒ æː h i l
jaajar	d͡ʒ æː d͡ʒ æ r
jaak	d͡ʒ æː k
jaal	d͡ʒ æː l
jaaldiiraan	d͡ʒ æː l d iː r æː n
jaale	d͡ʒ æː l e
jaalka	d͡ʒ æː l k æ
jaalkojiin	d͡ʒ æː l k ɔ d͡ʒ iː n
jaalle	d͡ʒ æː l l e
jaaluut	d͡ʒ æː l uː t
jaamac	d͡ʒ æː m æ ʕ
jaamacad	d͡ʒ æː m æ ʕ æ d
jaamacada	d͡ʒ æː m æ ʕ æ d æ
jaamacadda	d͡ʒ æː m æ ʕ æ d d æ
jaamacaddaha	d͡ʒ æː m æ ʕ æ d d æ h æ
jaan	d͡ʒ æː n
jaandheer	d͡ʒ æː n ɖ eː r
jaandi	d͡ʒ æː n d i
jaantusyada	d͡ʒ æː n t u s j æ d æ
jaanxor	d͡ʒ æː n ħ ɔ r
jaarso	d͡ʒ æː r s ɔ
jaarsveld	d͡ʒ æː r s e l d
jabaan	d͡ʒ æ b æː n
jabal	d͡ʒ æ b æ l
jabala	d͡ʒ æ b æ l æ
jabarti	d͡ʒ æ b æ r t i
jabay	d͡ʒ æ b æ j
jabbour	d͡ʒ æ b b ɔ u r
jabhadda	d͡ʒ æ b h æ d d æ
jablehe	d͡ʒ æ b l e h e
jablonski	d͡ʒ æ b l ɔ n s k i
jabu	d͡ʒ æ b u
jabuuti	d͡ʒ æ b uː t i
jacar	d͡ʒ æ ʕ æ r
jacayl	d͡ʒ æ ʕ æ j l
jaceyl	d͡ʒ æ ʕ e j l
jaceylka	d͡ʒ æ ʕ e j l k æ
jacfar	d͡ʒ æ ʕ f æ r
jack	d͡ʒ æ ʕ k
jackal	d͡ʒ æ ʕ k æ l
jacki	d͡ʒ æ ʕ k i
jackson	d͡ʒ æ ʕ k s ɔ n
jacob	d͡ʒ æ ʕ ɔ b
jacobs	d͡ʒ æ ʕ ɔ b s
jacobus	d͡ʒ æ ʕ ɔ b u s
jacqueline	d͡ʒ æ ʕ q u e l i n e
jacquelyn	d͡ʒ æ ʕ q u e l j n
jad	d͡ʒ æ d
jade	d͡ʒ æ d e
jadid	d͡ʒ æ d i d
jadwalka	d͡ʒ æ d w æ l k æ
jae	d͡ʒ æ e
jafaani	d͡ʒ æ f æː n i
jafaaniis	d͡ʒ æ f æː n iː s
jafaliil	d͡ʒ æ f æ l iː l
jagada	d͡ʒ æ ɡ æ d æ
jaggi	d͡ʒ æ ɡ ɡ i
jagodzi	d͡ʒ æ ɡ ɔ d i
jaguar	d͡ʒ æ ɡ u æ r
jaguslaafia	d͡ʒ æ ɡ u s l æː f i æ
jahal	d͡ʒ æ h æ l
jahdiel	d͡ʒ æ h d i e l
jahli	d͡ʒ æ h l i
jahliga	d͡ʒ æ h l i ɡ æ
jahsh	d͡ʒ æ h ʃ
jainismi	d͡ʒ æ i n i s m i
jair	d͡ʒ æ i r
jajab	d͡ʒ æ d͡ʒ æ b
jakarta	d͡ʒ æ k æ r t æ
jake	d͡ʒ æ k e
jalaal	d͡ʒ æ l æː l
jalaato	d͡ʒ æ l æː t ɔ
jalade	d͡ʒ æ l æ d e
jalal	d͡ʒ æ l æ l
jalalaqsi	d͡ʒ æ l æ l æ q s i
jalallaqsi	d͡ʒ æ l æ l l æ q s i
jallo	d͡ʒ æ l l ɔ
jalmad	d͡ʒ æ l m æ d
jama	d͡ʒ æ m æ
jamaaca	d͡ʒ æ m æː ʕ æ
jamaahiirta	d͡ʒ æ m æː h iː r t æ
jamaal	d͡ʒ æ m æː l
jamaaluddiin	d͡ʒ æ m æː l u d d iː n
jamaame	d͡ʒ æ m æː m e
jamac	d͡ʒ æ m æ ʕ
jamacada	d͡ʒ æ m æ ʕ æ d æ
jamal	d͡ʒ æ m æ l
jamali	d͡ʒ æ m æ l i
jamasho	d͡ʒ æ m æ ʃ ɔ
jamayka	d͡ʒ æ m æ j k æ
jambo	d͡ʒ æ m b ɔ
james	d͡ʒ æ m e s
jamestown	d͡ʒ æ m e s t ɔ w n
jamhuriya	d͡ʒ æ m h u r i j æ
jamhuriyada	d͡ʒ æ m h u r i j æ d æ
jamhuriyadda	d͡ʒ æ m h u r i j æ d d æ
jamhuuriya	d͡ʒ æ m h uː r i j æ
jamhuuriyad	d͡ʒ æ m h uː r i j æ d
jamhuuriyada	d͡ʒ æ m h uː r i j æ d æ
jamhuuriyadda	d͡ʒ æ m h uː r i j æ d d æ
jamhuuriyaddii	d͡ʒ æ m h uː r i j æ d d iː
jamia	d͡ʒ æ m i æ
jamie	d͡ʒ æ m i e
jamila	d͡ʒ æ m i l æ
jammeh	d͡ʒ æ m m e h
jamopyper	d͡ʒ æ m ɔ j e r
jamuuriyadda	d͡ʒ æ m uː r i j æ d d æ
jan	d͡ʒ æ n
jana	d͡ʒ æ n æ
janaale	d͡ʒ æ n æː l e
janaasada	d͡ʒ æ n æː s æ d æ
janaayo	d͡ʒ æ n æː j ɔ
janada	d͡ʒ æ n æ d æ
janan	d͡ʒ æ n æ n
jane	d͡ʒ æ n e
janeiro	d͡ʒ æ n e i r ɔ
janet	d͡ʒ æ n e t
jang	d͡ʒ æ n ɡ
janjeer	d͡ʒ æ n d͡ʒ eː r
janjeerka	d͡ʒ æ n d͡ʒ eː r k æ
jannaayo	d͡ʒ æ n n æː j ɔ
jannada	d͡ʒ æ n n æ d æ
janno	d͡ʒ æ n n ɔ
jano	d͡ʒ æ n ɔ
jantjes	d͡ʒ æ n t d͡ʒ e s
jantjies	d͡ʒ æ n t d͡ʒ i e s
janus	d͡ʒ æ n u s
januzaj	d͡ʒ æ n u æ d͡ʒ
janzaj	d͡ʒ æ n æ d͡ʒ
jaouad	d͡ʒ æ ɔ u æ d
japaan	d͡ʒ æ æː n
japan	d͡ʒ æ æ n
japhen	d͡ʒ æ h e n
jaqal	d͡ʒ æ q æ l
jara	d͡ʒ æ r æ
jaraax	d͡ʒ æ r æː ħ
jareer	d͡ʒ æ r eː r
jareernimo	d͡ʒ æ r eː r n i m ɔ
jareerta	d͡ʒ æ r eː r t æ
jari	d͡ʒ æ r i
jariiban	d͡ʒ æ r iː b æ n
jarmal	d͡ʒ æ r m æ l
jarmalka	d͡ʒ æ r m æ l k æ
jarso	d͡ʒ æ r s ɔ
jasaa	d͡ʒ æ s æː
jasiira	d͡ʒ æ s iː r æ
jasiirad	d͡ʒ æ s iː r æ d
jasiirada	d͡ʒ æ s iː r æ d æ
jasiiradaha	d͡ʒ æ s iː r æ d æ h æ
jasiiradda	d͡ʒ æ s iː r æ d d æ
jasiiradha	d͡ʒ æ s iː r æ ɖ æ
jaslene	d͡ʒ æ s l e n e
jasmine	d͡ʒ æ s m i n e
jason	d͡ʒ æ s ɔ n
jassirada	d͡ʒ æ s s i r æ d æ
jassiradha	d͡ʒ æ s s i r æ ɖ æ
java	d͡ʒ æ æ
javanese	d͡ʒ æ æ n e s e
javascript	d͡ʒ æ æ s ʕ r i t
javed	d͡ʒ æ e d
jawa	d͡ʒ æ w æ
jawaab	d͡ʒ æ w æː b
jawaaba	d͡ʒ æ w æː b æ
jawaahir	d͡ʒ æ w æː h i r
jawaan	d͡ʒ æ w æː n
jawaarey	d͡ʒ æ w æː r e j
jawaari	d͡ʒ æ w æː r i
jawaay	d͡ʒ æ w æː j
jawiil	d͡ʒ æ w iː l
jawlaan	d͡ʒ æ w l æː n
jawle	d͡ʒ æ w l e
jay	d͡ʒ æ j
jayne	d͡ʒ æ j n e
jaywon	d͡ʒ æ j w ɔ n
jaziira	d͡ʒ æ iː r æ
jcb	d͡ʒ ʕ b
je	d͡ʒ e
jea	d͡ʒ e æ
jean	d͡ʒ e æ n
jeannette	d͡ʒ e æ n n e t t e
jeayes	d͡ʒ e æ j e s
jebel	d͡ʒ e b e l
jebelein	d͡ʒ e b e l e i n
jecayl	d͡ʒ e ʕ æ j l
jeclaa	d͡ʒ e ʕ l æː
jeclo	d͡ʒ e ʕ l ɔ
jeddah	d͡ʒ e d d æ h
jeegaan	d͡ʒ eː ɡ æː n
jeejniya	d͡ʒ eː d͡ʒ n i j æ
jeel	d͡ʒ eː l
jeelle	d͡ʒ eː l l e
jeelow	d͡ʒ eː l ɔ w
jeer	d͡ʒ eː r
jeeraabe	d͡ʒ eː r æː b e
jees	d͡ʒ eː s
jeex	d͡ʒ eː ħ
jeff	d͡ʒ e f f
jeffrey	d͡ʒ e f f r e j
jehovah	d͡ʒ e h ɔ æ h
jek	d͡ʒ e k
jeleel	d͡ʒ e l eː l
jelle	d͡ʒ e l l e
jelsi	d͡ʒ e l s i
jemima	d͡ʒ e m i m æ
jems	d͡ʒ e m s
jenner	d͡ʒ e n n e r
jennie	d͡ʒ e n n i e
jennifer	d͡ʒ e n n i f e r
jenny	d͡ʒ e n n j
jens	d͡ʒ e n s
jeon	d͡ʒ e ɔ n
jeong	d͡ʒ e ɔ n ɡ
jeppe	d͡ʒ e e
jepsen	d͡ʒ e s e n
jeremy	d͡ʒ e r e m j
jeriq	d͡ʒ e r i q
jerlin	d͡ʒ e r l i n
jermaaniyaam	d͡ʒ e r m æː n i j æː m
jerry	d͡ʒ e r r j
jersey	d͡ʒ e r s e j
jerusalem	d͡ʒ e r u s æ l e m
jes	d͡ʒ e s
jesse	d͡ʒ e s s e
jessi	d͡ʒ e s s i
jessica	d͡ʒ e s s i ʕ æ
jessie	d͡ʒ e s s i e
jesus	d͡ʒ e s u s
jesy	d͡ʒ e s j
jet	d͡ʒ e t
jewis	d͡ʒ e w i s
jewish	d͡ʒ e w i ʃ
jeyfri	d͡ʒ e j f r i
jeylaani	d͡ʒ e j l æː n i
ji	d͡ʒ i
jiah	d͡ʒ i æ h
jiba	d͡ʒ i b æ
jibbaarane	d͡ʒ i b b æː r æ n e
jibraacin	d͡ʒ i b r æː ʕ i n
jibrahil	d͡ʒ i b r æ h i l
jibraltaar	d͡ʒ i b r æ l t æː r
jibriil	d͡ʒ i b r iː l
jibril	d͡ʒ i b r i l
jibrin	d͡ʒ i b r i n
jid	d͡ʒ i d
jidali	d͡ʒ i d æ l i
jidda	d͡ʒ i d d æ
jide	d͡ʒ i d e
jidh	d͡ʒ i ɖ
jidhi	d͡ʒ i ɖ i
jidle	d͡ʒ i d l e
jidwaaq	d͡ʒ i d w æː q
jigjiga	d͡ʒ i ɡ d͡ʒ i ɡ æ
jihaad	d͡ʒ i h æː d
jihaadka	d͡ʒ i h æː d k æ
jiho	d͡ʒ i h ɔ
jihyo	d͡ʒ i h j ɔ
jiicdheere	d͡ʒ iː ʕ ɖ eː r e
jiidad	d͡ʒ iː d æ d
jiidasho	d͡ʒ iː d æ ʃ ɔ
jiidh	d͡ʒ iː ɖ
jiido	d͡ʒ iː d ɔ
jiif	d͡ʒ iː f
jiifka	d͡ʒ iː f k æ
jiilaal	d͡ʒ iː l æː l
jiingada	d͡ʒ iː n ɡ æ d æ
jiir	d͡ʒ iː r
jijeele	d͡ʒ i d͡ʒ eː l e
jijiga	d͡ʒ i d͡ʒ i ɡ æ
jikaago	d͡ʒ i k æː ɡ ɔ
jiko	d͡ʒ i k ɔ
jilaa	d͡ʒ i l æː
jilac	d͡ʒ i l æ ʕ
jilani	d͡ʒ i l æ n i
jili	d͡ʒ i l i
jilib	d͡ʒ i l i b
jilicsanaan	d͡ʒ i l i ʕ s æ n æː n
jilid	d͡ʒ i l i d
jilyaale	d͡ʒ i l j æː l e
jim	d͡ʒ i m
jimcaale	d͡ʒ i m ʕ æː l e
jimciyada	d͡ʒ i m ʕ i j æ d æ
jimco	d͡ʒ i m ʕ ɔ
jimmie	d͡ʒ i m m i e
jimmy	d͡ʒ i m m j
jin	d͡ʒ i n
jinaabobax	d͡ʒ i n æː b ɔ b æ ħ
jinaabobaxa	d͡ʒ i n æː b ɔ b æ ħ æ
jinacsani	d͡ʒ i n æ ʕ s æ n i
jinbilley	d͡ʒ i n b i l l e j
jineefa	d͡ʒ i n eː f æ
jini	d͡ʒ i n i
jinkis	d͡ʒ i n k i s
jinsiga	d͡ʒ i n s i ɡ æ
jinsiyad	d͡ʒ i n s i j æ d
jintara	d͡ʒ i n t æ r æ
jipe	d͡ʒ i e
jira	d͡ʒ i r æ
jiraan	d͡ʒ i r æː n
jiray	d͡ʒ i r æ j
jirdil	d͡ʒ i r d i l
jire	d͡ʒ i r e
jireen	d͡ʒ i r eː n
jirey	d͡ʒ i r e j
jirid	d͡ʒ i r i d
jirin	d͡ʒ i r i n
jirjir	d͡ʒ i r d͡ʒ i r
jirjiroole	d͡ʒ i r d͡ʒ i r ɔː l e
jirka	d͡ʒ i r k æ
jirriiban	d͡ʒ i r r iː b æ n
jism	d͡ʒ i s m
jisoo	d͡ʒ i s ɔː
jita	d͡ʒ i t æ
jiwid	d͡ʒ i w i d
jk	d͡ʒ k
jo	d͡ʒ ɔ
joachim	d͡ʒ ɔ æ ʕ h i m
joan	d͡ʒ ɔ æ n
joburg	d͡ʒ ɔ b u r ɡ
joe	d͡ʒ ɔ e
joeboy	d͡ʒ ɔ e b ɔ j
joh	d͡ʒ ɔ h
johan	d͡ʒ ɔ h æ n
johann	d͡ʒ ɔ h æ n n
johannes	d͡ʒ ɔ h æ n n e s
johannesburg	d͡ʒ ɔ h æ n n e s b u r ɡ
johansson	d͡ʒ ɔ h æ n s s ɔ n
john	d͡ʒ ɔ h n
johnny	d͡ʒ ɔ h n n j
johnson	d͡ʒ ɔ h n s ɔ n
joke	d͡ʒ ɔ k e
jolie	d͡ʒ ɔ l i e
jombo	d͡ʒ ɔ m b ɔ
jomo	d͡ʒ ɔ m ɔ
jon	d͡ʒ ɔ n
jonas	d͡ʒ ɔ n æ s
jonathan	d͡ʒ ɔ n æ t h æ n
jones	d͡ʒ ɔ n e s
jong	d͡ʒ ɔ n ɡ
jongh	d͡ʒ ɔ n ɡ h
jonty	d͡ʒ ɔ n t j
joo	d͡ʒ ɔː
joode	d͡ʒ ɔː d e
jooe	d͡ʒ ɔː e
joog	d͡ʒ ɔː ɡ
jooga	d͡ʒ ɔː ɡ æ
joogaan	d͡ʒ ɔː ɡ æː n
joogo	d͡ʒ ɔː ɡ ɔ
joomitiri	d͡ʒ ɔː m i t i r i
joonas	d͡ʒ ɔː n æ s
joorj	d͡ʒ ɔː r d͡ʒ
joorjiya	d͡ʒ ɔː r d͡ʒ i j æ
joornaalo	d͡ʒ ɔː r n æː l ɔ
jordan	d͡ʒ ɔ r d æ n
jordyn	d͡ʒ ɔ r d j n
jorf	d͡ʒ ɔ r f
jorge	d͡ʒ ɔ r ɡ e
jorja	d͡ʒ ɔ r d͡ʒ æ
jos	d͡ʒ ɔ s
josefina	d͡ʒ ɔ s e f i n æ
joseph	d͡ʒ ɔ s e h
josephine	d͡ʒ ɔ s e h i n e
joshua	d͡ʒ ɔ ʃ u æ
jourdan	d͡ʒ ɔ u r d æ n
jow	d͡ʒ ɔ w
jowhar	d͡ʒ ɔ w h æ r
jowle	d͡ʒ ɔ w l e
joy	d͡ʒ ɔ j
joyce	d͡ʒ ɔ j ʕ e
jpg	d͡ʒ ɡ
jr	d͡ʒ r
jsl	d͡ʒ s l
jtbc	d͡ʒ t b ʕ
ju	d͡ʒ u
jua	d͡ʒ u æ
juan	d͡ʒ u æ n
juba	d͡ʒ u b æ
jubada	d͡ʒ u b æ d æ
jubaland	d͡ʒ u b æ l æ n d
jubalander	d͡ʒ u b æ l æ n d e r
jubba	d͡ʒ u b b æ
jubbada	d͡ʒ u b b æ d æ
judaan	d͡ʒ u d æː n
judala	d͡ʒ u d æ l æ
jude	d͡ʒ u d e
judi	d͡ʒ u d i
judikay	d͡ʒ u d i k æ j
judith	d͡ʒ u d i t h
jufentus	d͡ʒ u f e n t u s
jugley	d͡ʒ u ɡ l e j
julia	d͡ʒ u l i æ
julian	d͡ʒ u l i æ n
juliana	d͡ʒ u l i æ n æ
julie	d͡ʒ u l i e
juliet	d͡ʒ u l i e t
julio	d͡ʒ u l i ɔ
julius	d͡ʒ u l i u s
juliyat	d͡ʒ u l i j æ t
jumada	d͡ʒ u m æ d æ
jumanah	d͡ʒ u m æ n æ h
jumcaha	d͡ʒ u m ʕ æ h æ
jumlada	d͡ʒ u m l æ d æ
jumoke	d͡ʒ u m ɔ k e
jun	d͡ʒ u n
jung	d͡ʒ u n ɡ
junior	d͡ʒ u n i ɔ r
juqraafi	d͡ʒ u q r æː f i
juqraafiga	d͡ʒ u q r æː f i ɡ æ
juquraafi	d͡ʒ u q u r æː f i
juquraafiga	d͡ʒ u q u r æː f i ɡ æ
just	d͡ʒ u s t
justin	d͡ʒ u s t i n
juul	d͡ʒ uː l
juuliyoos	d͡ʒ uː l i j ɔː s
juun	d͡ʒ uː n
juune	d͡ʒ uː n e
juuraasiig	d͡ʒ uː r æː s iː ɡ
juuraasiik	d͡ʒ uː r æː s iː k
juurile	d͡ʒ uː r i l e
juventus	d͡ʒ u e n t u s
jv	d͡ʒ
jyoti	d͡ʒ j ɔ t i
jyp	d͡ʒ j
ka	k æ
kaab	k æː b
kaabaj	k æː b æ d͡ʒ
kaabayaal	k æː b æ j æː l
kaadhadhka	k æː ɖ æ ɖ k æ
kaadhka	k æː ɖ k æ
kaadi	k æː d i
kaadmiyaam	k æː d m i j æː m
kaahin	k æː h i n
kaal	k æː l
kaalandar	k æː l æ n d æ r
kaalshiyaam	k æː l ʃ i j æː m
kaam	k æː m
kaambooni	k æː m b ɔː n i
kaamcumar	k æː m ʕ u m æ r
kaamil	k æː m i l
kaamka	k æː m k æ
kaangaruu	k æː n ɡ æ r uː
kaar	k æː r
kaaraan	k æː r æː n
kaarbon	k æː r b ɔ n
kaarboon	k æː r b ɔː n
kaaribiyaan	k æː r i b i j æː n
kaaribiyaanka	k æː r i b i j æː n k æ
kaariibiya	k æː r iː b i j æ
kaariibiyaan	k æː r iː b i j æː n
kaariibiyaanka	k æː r iː b i j æː n k æ
kaariye	k æː r i j e
kaaroot	k æː r ɔː t
kaas	k æː s
kaasiyaam	k æː s i j æː m
kaastaro	k æː s t æ r ɔ
kaaydiye	k æː j d i j e
kab	k æ b
kabacad	k æ b æ ʕ æ d
kabambe	k æ b æ m b e
kaban	k æ b æ n
kabare	k æ b æ r e
