aa	a a
caping	t͡ʃ a p i ŋ
capirotada	t͡ʃ a p i r o t a d̪̤ a
capistrello	t͡ʃ a p i s t r e l l o
capocollo	t͡ʃ a p o t͡ʃ o l l o
caponata	t͡ʃ a p o n a t a
capone	t͡ʃ a p o n e
capparales	t͡ʃ a p p a r a l e s
cappon	t͡ʃ a p p o n
cappuccino	t͡ʃ a p p u t͡ʃ t͡ʃ i n o
capricornus	t͡ʃ a p r i t͡ʃ o r n u s
captain	t͡ʃ a p t a i n
capuliato	t͡ʃ a p u l i a t o
capuns	t͡ʃ a p u n s
car	t͡ʃ a r
cara	t͡ʃ a r a
caracal	t͡ʃ a r a t͡ʃ a l
caracas	t͡ʃ a r a t͡ʃ a s
caracol	t͡ʃ a r a t͡ʃ o l
carajawa	t͡ʃ a r a d͡ʒ̤ a w a
carakan	t͡ʃ a r a k a n
carakiril	t͡ʃ a r a k i r i l
caralatin	t͡ʃ a r a l a t i n
carane	t͡ʃ a r a n e
carang	t͡ʃ a r a ŋ
carangreja	t͡ʃ a r a ŋ r e d͡ʒ̤ a
carangsari	t͡ʃ a r a ŋ s a r i
carangwulung	t͡ʃ a r a ŋ w u l u ŋ
carapocap	t͡ʃ a r a p o t͡ʃ a p
carapulcra	t͡ʃ a r a p u l t͡ʃ r a
caravaca	t͡ʃ a r a v a t͡ʃ a
caravaggio	t͡ʃ a r a v a ɡ̤ ɡ̤ i o
caraway	t͡ʃ a r a w a j
carbonara	t͡ʃ a r b̤ o n a r a
carcharodontosaurus	t͡ʃ a r t͡ʃ h a r o d̪̤ o n t o s a u r u s
carciofi	t͡ʃ a r t͡ʃ i o f i
cardiff	t͡ʃ a r d̪̤ i f f
careful	t͡ʃ a r e f u l
carel	t͡ʃ a r e l
carenang	t͡ʃ a r e n a ŋ
carera	t͡ʃ a r e r a
carey	t͡ʃ a r e j
cari	t͡ʃ a r i
caribbean	t͡ʃ a r i b̤ b̤ e a n
carica	t͡ʃ a r i t͡ʃ a
caricaceae	t͡ʃ a r i t͡ʃ a t͡ʃ e a e
carik	t͡ʃ a r i k
carikan	t͡ʃ a r i k a n
carima	t͡ʃ a r i m a
carina	t͡ʃ a r i n a
carinatus	t͡ʃ a r i n a t u s
caringin	t͡ʃ a r i ŋ i n
carissa	t͡ʃ a r i s s a
carita	t͡ʃ a r i t a
cariu	t͡ʃ a r i u
cariyos	t͡ʃ a r i j o s
carkak	t͡ʃ a r k a k
carl	t͡ʃ a r l
carla	t͡ʃ a r l a
carleton	t͡ʃ a r l e t o n
carlita	t͡ʃ a r l i t a
carlo	t͡ʃ a r l o
carlos	t͡ʃ a r l o s
carlson	t͡ʃ a r l s o n
carlton	t͡ʃ a r l t o n
carlyle	t͡ʃ a r l j l e
carne	t͡ʃ a r n e
carnegiea	t͡ʃ a r n e ɡ̤ i e a
carnitas	t͡ʃ a r n i t a s
carnivora	t͡ʃ a r n i v o r a
carnotaurus	t͡ʃ a r n o t a u r u s
carol	t͡ʃ a r o l
carolina	t͡ʃ a r o l i n a
caroline	t͡ʃ a r o l i n e
caroll	t͡ʃ a r o l l
carolus	t͡ʃ a r o l u s
carolyn	t͡ʃ a r o l j n
carpaccio	t͡ʃ a r p a t͡ʃ t͡ʃ i o
carpe	t͡ʃ a r p e
carpenters	t͡ʃ a r p e n t e r s
carpineto	t͡ʃ a r p i n e t o
carrel	t͡ʃ a r r e l
carrie	t͡ʃ a r r i e
carroll	t͡ʃ a r r o l l
carrollton	t͡ʃ a r r o l l t o n
carrot	t͡ʃ a r r o t
carrozza	t͡ʃ a r r o z z a
cars	t͡ʃ a r s
carsoli	t͡ʃ a r s o l i
cartagena	t͡ʃ a r t a ɡ̤ e n a
cartoon	t͡ʃ a r t o o n
caruban	t͡ʃ a r u b̤ a n
carucitra	t͡ʃ a r u t͡ʃ i t r a
caruk	t͡ʃ a r u k
carul	t͡ʃ a r u l
carunchio	t͡ʃ a r u n t͡ʃ h i o
caruru	t͡ʃ a r u r u
caruy	t͡ʃ a r u j
carvajal	t͡ʃ a r v a d͡ʒ̤ a l
carvalho	t͡ʃ a r v a l h o
caryophyllaceae	t͡ʃ a r j o p h j l l a t͡ʃ e a e
caryophyllales	t͡ʃ a r j o p h j l l a l e s
cas	t͡ʃ a s
casa	t͡ʃ a s a
casacanditella	t͡ʃ a s a t͡ʃ a n d̪̤ i t e l l a
casadiella	t͡ʃ a s a d̪̤ i e l l a
casado	t͡ʃ a s a d̪̤ o
casalanguida	t͡ʃ a s a l a ŋ u i d̪̤ a
casalbordino	t͡ʃ a s a l b̤ o r d̪̤ i n o
casalduni	t͡ʃ a s a l d̪̤ u n i
casalincontrada	t͡ʃ a s a l i n t͡ʃ o n t r a d̪̤ a
casatiello	t͡ʃ a s a t i e l l o
cascaron	t͡ʃ a s t͡ʃ a r o n
case	t͡ʃ a s e
casemiro	t͡ʃ a s e m i r o
caserta	t͡ʃ a s e r t a
casey	t͡ʃ a s e j
casino	t͡ʃ a s i n o
casoli	t͡ʃ a s o l i
casquets	t͡ʃ a s q u e t s
cassano	t͡ʃ a s s a n o
cassata	t͡ʃ a s s a t a
cassatella	t͡ʃ a s s a t e l l a
casserole	t͡ʃ a s s e r o l e
cassin	t͡ʃ a s s i n
cassiopeia	t͡ʃ a s s i o p e i a
cassoeula	t͡ʃ a s s o e u l a
cassoulet	t͡ʃ a s s o u l e t
castagnaccio	t͡ʃ a s t a ɡ̤ n a t͡ʃ t͡ʃ i o
castel	t͡ʃ a s t e l
castelfranco	t͡ʃ a s t e l f r a n t͡ʃ o
castelguidone	t͡ʃ a s t e l ɡ̤ u i d̪̤ o n e
castella	t͡ʃ a s t e l l a
castelpagano	t͡ʃ a s t e l p a ɡ̤ a n o
castelpoto	t͡ʃ a s t e l p o t o
castelvetere	t͡ʃ a s t e l v e t e r e
castiglione	t͡ʃ a s t i ɡ̤ l i o n e
castile	t͡ʃ a s t i l e
castilly	t͡ʃ a s t i l l j
castle	t͡ʃ a s t l e
castricum	t͡ʃ a s t r i t͡ʃ u m
castro	t͡ʃ a s t r o
casu	t͡ʃ a s u
casunziei	t͡ʃ a s u n z i e i
casus	t͡ʃ a s u s
cat	t͡ʃ a t
catakgayam	t͡ʃ a t a k ɡ̤ a j a m
catalana	t͡ʃ a t a l a n a
catalunya	t͡ʃ a t a l u ɲ a
catania	t͡ʃ a t a n i a
catanzaro	t͡ʃ a t a n z a r o
cathartica	t͡ʃ a ʈ a r t i t͡ʃ a
catherine	t͡ʃ a ʈ e r i n e
cathetan	t͡ʃ a ʈ e t a n
cathok	t͡ʃ a ʈ o k
cathy	t͡ʃ a ʈ j
caton	t͡ʃ a t o n
catubouw	t͡ʃ a t u b̤ o u w
catur	t͡ʃ a t u r
caturanom	t͡ʃ a t u r a n o m
caturharja	t͡ʃ a t u r h a r d͡ʒ̤ a
caturharjo	t͡ʃ a t u r h a r d͡ʒ̤ o
caturtunggal	t͡ʃ a t u r t u ŋ ɡ̤ a l
caubelayu	t͡ʃ a u b̤ e l a j u
caudle	t͡ʃ a u d̪̤ l e
caul	t͡ʃ a u l
cavaliers	t͡ʃ a v a l i e r s
cavour	t͡ʃ a v o u r
cawan	t͡ʃ a w a n
cawas	t͡ʃ a w a s
cawet	t͡ʃ a w e t
cawis	t͡ʃ a w i s
cawitali	t͡ʃ a w i t a l i
cawl	t͡ʃ a w l
cayane	t͡ʃ a j a n e
caycay	t͡ʃ a j t͡ʃ a j
cayenne	t͡ʃ a j e n n e
cayman	t͡ʃ a j m a n
cazu	t͡ʃ a z u
cb	t͡ʃ b̤
cbeebies	t͡ʃ b̤ e e b̤ i e s
cbn	t͡ʃ b̤ n
cbs	t͡ʃ b̤ s
cc	t͡ʃ t͡ʃ
cd	t͡ʃ d̪̤
ceballos	t͡ʃ e b̤ a l l o s
cebol	t͡ʃ e b̤ o l
cebolada	t͡ʃ e b̤ o l a d̪̤ a
cebolek	t͡ʃ e b̤ o l e k
cebuano	t͡ʃ e b̤ u a n o
cecak	t͡ʃ e t͡ʃ a k
cecek	t͡ʃ e t͡ʃ e k
cecilia	t͡ʃ e t͡ʃ i l i a
cecina	t͡ʃ e t͡ʃ i n a
cedhak	t͡ʃ e ɖ̤ a k
cedynia	t͡ʃ e d̪̤ j n i a
ceger	t͡ʃ e ɡ̤ e r
ceguk	t͡ʃ e ɡ̤ u k
ceheng	t͡ʃ e h e ŋ
cek	t͡ʃ e k
cekak	t͡ʃ e k a k
cekakan	t͡ʃ e k a k a n
cekel	t͡ʃ e k e l
ceker	t͡ʃ e k e r
ceko	t͡ʃ e k o
cekoh	t͡ʃ e k o h
cekoslovakia	t͡ʃ e k o s l o v a k i a
cekoslowakia	t͡ʃ e k o s l o w a k i a
cela	t͡ʃ e l a
celaket	t͡ʃ e l a k e t
celana	t͡ʃ e l a n a
celano	t͡ʃ e l a n o
celebensis	t͡ʃ e l e b̤ e n s i s
celempung	t͡ʃ e l e m p u ŋ
celenza	t͡ʃ e l e n z a
celep	t͡ʃ e l e p
celeste	t͡ʃ e l e s t e
celestial	t͡ʃ e l e s t i a l
celina	t͡ʃ e l i n a
celine	t͡ʃ e l i n e
cella	t͡ʃ e l l a
cello	t͡ʃ e l l o
cells	t͡ʃ e l l s
celsius	t͡ʃ e l s i u s
celtic	t͡ʃ e l t i t͡ʃ
celtics	t͡ʃ e l t i t͡ʃ s
celuk	t͡ʃ e l u k
celukan	t͡ʃ e l u k a n
celup	t͡ʃ e l u p
celupan	t͡ʃ e l u p a n
celurit	t͡ʃ e l u r i t
cem	t͡ʃ e m
cemagi	t͡ʃ e m a ɡ̤ i
cemani	t͡ʃ e m a n i
cemantan	t͡ʃ e m a n t a n
cemara	t͡ʃ e m a r a
cembengan	t͡ʃ e m b̤ e ŋ a n
cemeng	t͡ʃ e m e ŋ
cemerlang	t͡ʃ e m e r l a ŋ
cemita	t͡ʃ e m i t a
cemoro	t͡ʃ e m o r o
cemp	t͡ʃ e m p
cempa	t͡ʃ e m p a
cempaga	t͡ʃ e m p a ɡ̤ a
cempaka	t͡ʃ e m p a k a
cempedak	t͡ʃ e m p e d̪̤ a k
cempedhak	t͡ʃ e m p e ɖ̤ a k
cempereng	t͡ʃ e m p e r e ŋ
cemplon	t͡ʃ e m p l o n
cenang	t͡ʃ e n a ŋ
cendagah	t͡ʃ e n d̪̤ a ɡ̤ a h
cendana	t͡ʃ e n d̪̤ a n a
cendet	t͡ʃ e n d̪̤ e t
cendh	t͡ʃ e n ɖ̤
cendhana	t͡ʃ e n ɖ̤ a n a
cendono	t͡ʃ e n d̪̤ o n o
cendrakasih	t͡ʃ e n d̪̤ r a k a s i h
cendrawasih	t͡ʃ e n d̪̤ r a w a s i h
cengal	t͡ʃ e ŋ a l
cenggini	t͡ʃ e ŋ ɡ̤ i n i
cengis	t͡ʃ e ŋ i s
cengk	t͡ʃ e ŋ k
cengkalsewu	t͡ʃ e ŋ k a l s e w u
cengkar	t͡ʃ e ŋ k a r
cengkareng	t͡ʃ e ŋ k a r e ŋ
cengkaruk	t͡ʃ e ŋ k a r u k
cengkawakreja	t͡ʃ e ŋ k a w a k r e d͡ʒ̤ a
cengkawakrejo	t͡ʃ e ŋ k a w a k r e d͡ʒ̤ o
cengkeh	t͡ʃ e ŋ k e h
cengkir	t͡ʃ e ŋ k i r
cengkok	t͡ʃ e ŋ k o k
cengkorongan	t͡ʃ e ŋ k o r o ŋ a n
cengkuang	t͡ʃ e ŋ k u a ŋ
cengungklung	t͡ʃ e ŋ u ŋ k l u ŋ
cenil	t͡ʃ e n i l
cening	t͡ʃ e n i ŋ
cenk	t͡ʃ e n k
cenlecen	t͡ʃ e n l e t͡ʃ e n
cenote	t͡ʃ e n o t e
cenrana	t͡ʃ e n r a n a
cent	t͡ʃ e n t
centauri	t͡ʃ e n t a u r i
centaurus	t͡ʃ e n t a u r u s
centennial	t͡ʃ e n t e n n i a l
centrair	t͡ʃ e n t r a i r
central	t͡ʃ e n t r a l
centralesup	t͡ʃ e n t r a l e s u p
centre	t͡ʃ e n t r e
centro	t͡ʃ e n t r o
century	t͡ʃ e n t u r j
cepaga	t͡ʃ e p a ɡ̤ a
cepagan	t͡ʃ e p a ɡ̤ a n
cepaka	t͡ʃ e p a k a
cepakakuning	t͡ʃ e p a k a k u n i ŋ
cepakamulya	t͡ʃ e p a k a m u l j a
cepakasawit	t͡ʃ e p a k a s a w i t
cepedak	t͡ʃ e p e d̪̤ a k
cepedhak	t͡ʃ e p e ɖ̤ a k
cepelinai	t͡ʃ e p e l i n a i
ceper	t͡ʃ e p e r
cepet	t͡ʃ e p e t
cephalopoda	t͡ʃ e p h a l o p o d̪̤ a
cepheus	t͡ʃ e p h e u s
cepiring	t͡ʃ e p i r i ŋ
ceplok	t͡ʃ e p l o k
ceplukan	t͡ʃ e p l u k a n
cepogo	t͡ʃ e p o ɡ̤ o
cepokak	t͡ʃ e p o k a k
cepoko	t͡ʃ e p o k o
cepokokuning	t͡ʃ e p o k o k u n i ŋ
cepokomulyo	t͡ʃ e p o k o m u l j o
cepokosawit	t͡ʃ e p o k o s a w i t
ceporan	t͡ʃ e p o r a n
cepot	t͡ʃ e p o t
ceprotan	t͡ʃ e p r o t a n
cepu	t͡ʃ e p u
cepuri	t͡ʃ e p u r i
ceratophyllales	t͡ʃ e r a t o p h j l l a l e s
ceratosaurus	t͡ʃ e r a t o s a u r u s
cerbera	t͡ʃ e r b̤ e r a
cerberus	t͡ʃ e r b̤ e r u s
cerbon	t͡ʃ e r b̤ o n
cerbonan	t͡ʃ e r b̤ o n a n
ceres	t͡ʃ e r e s
ceresto	t͡ʃ e r e s t o
ceriagrion	t͡ʃ e r i a ɡ̤ r i o n
cerih	t͡ʃ e r i h
cerik	t͡ʃ e r i k
cerinorubellum	t͡ʃ e r i n o r u b̤ e l l u m
ceriping	t͡ʃ e r i p i ŋ
cerita	t͡ʃ e r i t a
cerkak	t͡ʃ e r k a k
cerm	t͡ʃ e r m
cerma	t͡ʃ e r m a
cerme	t͡ʃ e r m e
cermee	t͡ʃ e r m e e
cermen	t͡ʃ e r m e n
cermin	t͡ʃ e r m i n
cermo	t͡ʃ e r m o
cerreto	t͡ʃ e r r e t o
cerrina	t͡ʃ e r r i n a
cervelat	t͡ʃ e r v e l a t
cesc	t͡ʃ e s t͡ʃ
cesena	t͡ʃ e s e n a
cetacea	t͡ʃ e t a t͡ʃ e a
cetan	t͡ʃ e t a n
cetha	t͡ʃ e ʈ a
cethan	t͡ʃ e ʈ a n
cethil	t͡ʃ e ʈ i l
cetho	t͡ʃ e ʈ o
cethot	t͡ʃ e ʈ o t
ceto	t͡ʃ e t o
cetus	t͡ʃ e t u s
ceuta	t͡ʃ e u t a
ceweng	t͡ʃ e w e ŋ
cezerye	t͡ʃ e z e r j e
ch	t͡ʃ h
cha	t͡ʃ h a
chaam	t͡ʃ h a a m
chaas	t͡ʃ h a a s
chaat	t͡ʃ h a a t
chacarero	t͡ʃ h a t͡ʃ a r e r o
chad	t͡ʃ h a d̪̤
chadachadi	t͡ʃ h a d̪̤ a t͡ʃ h a d̪̤ i
chadli	t͡ʃ h a d̪̤ l i
chaengdeok	t͡ʃ h a e ŋ d̪̤ e o k
chaerilus	t͡ʃ h a e r i l u s
chaerul	t͡ʃ h a e r u l
chaesara	t͡ʃ h a e s a r a
chagalov	t͡ʃ h a ɡ̤ a l o v
chahan	t͡ʃ h a h a n
chai	t͡ʃ h a i
chairil	t͡ʃ h a i r i l
chairudin	t͡ʃ h a i r u d̪̤ i n
chairul	t͡ʃ h a i r u l
chaiyya	t͡ʃ h a i j j a
chakapuli	t͡ʃ h a k a p u l i
chakhchoukha	t͡ʃ h a k h t͡ʃ h o u k h a
chakma	t͡ʃ h a k m a
chakuli	t͡ʃ h a k u l i
chal	t͡ʃ h a l
chalcedony	t͡ʃ h a l t͡ʃ e d̪̤ o ɲ
challah	t͡ʃ h a l l a h
challenger	t͡ʃ h a l l e ŋ e r
chalupa	t͡ʃ h a l u p a
cham	t͡ʃ h a m
chamaeleon	t͡ʃ h a m a e l e o n
chamba	t͡ʃ h a m b̤ a
chamberlain	t͡ʃ h a m b̤ e r l a i n
chamoy	t͡ʃ h a m o j
champ	t͡ʃ h a m p
champagne	t͡ʃ h a m p a ɡ̤ n e
champollion	t͡ʃ h a m p o l l i o n
champon	t͡ʃ h a m p o n
champorado	t͡ʃ h a m p o r a d̪̤ o
champs	t͡ʃ h a m p s
champurrado	t͡ʃ h a m p u r r a d̪̤ o
chamsyah	t͡ʃ h a m s j a h
chan	t͡ʃ h a n
chana	t͡ʃ h a n a
chanakhi	t͡ʃ h a n a k h i
chanakya	t͡ʃ h a n a k j a
chance	t͡ʃ h a n t͡ʃ e
chancellor	t͡ʃ h a n t͡ʃ e l l o r
chandra	t͡ʃ h a n d̪̤ r a
chandrakala	t͡ʃ h a n d̪̤ r a k a l a
chandrayaan	t͡ʃ h a n d̪̤ r a j a a n
chandrika	t͡ʃ h a n d̪̤ r i k a
chanel	t͡ʃ h a n e l
chang	t͡ʃ h a ŋ
changchun	t͡ʃ h a ŋ t͡ʃ h u n
changdeok	t͡ʃ h a ŋ d̪̤ e o k
changeling	t͡ʃ h a ŋ e l i ŋ
changgeuk	t͡ʃ h a ŋ ɡ̤ e u k
changgyeong	t͡ʃ h a ŋ ɡ̤ j e o ŋ
changnyeong	t͡ʃ h a ŋ ɲ e o ŋ
changsha	t͡ʃ h a ŋ s h a
changwon	t͡ʃ h a ŋ w o n
chanh	t͡ʃ h a n h
chankonab	t͡ʃ h a n k o n a b̤
channel	t͡ʃ h a n n e l
channing	t͡ʃ h a n n i ŋ
chanpur	t͡ʃ h a n p u r
chansung	t͡ʃ h a n s u ŋ
chant	t͡ʃ h a n t
chantal	t͡ʃ h a n t a l
chanyeol	t͡ʃ h a ɲ e o l
chao	t͡ʃ h a o
chaoshou	t͡ʃ h a o s h o u
chaouia	t͡ʃ h a o u i a
chapati	t͡ʃ h a p a t i
chapecoense	t͡ʃ h a p e t͡ʃ o e n s e
chapli	t͡ʃ h a p l i
chaplin	t͡ʃ h a p l i n
chapman	t͡ʃ h a p m a n
chapssal	t͡ʃ h a p s s a l
char	t͡ʃ h a r
charcadontosaurus	t͡ʃ h a r t͡ʃ a d̪̤ o n t o s a u r u s
charcarodontosaurus	t͡ʃ h a r t͡ʃ a r o d̪̤ o n t o s a u r u s
charcoal	t͡ʃ h a r t͡ʃ o a l
charcuterie	t͡ʃ h a r t͡ʃ u t e r i e
charidotella	t͡ʃ h a r i d̪̤ o t e l l a
charlemagne	t͡ʃ h a r l e m a ɡ̤ n e
charlene	t͡ʃ h a r l e n e
charles	t͡ʃ h a r l e s
charlie	t͡ʃ h a r l i e
charlize	t͡ʃ h a r l i z e
charlotte	t͡ʃ h a r l o t t e
charly	t͡ʃ h a r l j
charmander	t͡ʃ h a r m a n d̪̤ e r
charon	t͡ʃ h a r o n
charophyta	t͡ʃ h a r o p h j t a
charos	t͡ʃ h a r o s
charquic	t͡ʃ h a r q u i t͡ʃ
chase	t͡ʃ h a s e
chashushuli	t͡ʃ h a s h u s h u l i
chassaignac	t͡ʃ h a s s a i ɡ̤ n a t͡ʃ
chat	t͡ʃ h a t
chatarina	t͡ʃ h a t a r i n a
chateaubriand	t͡ʃ h a t e a u b̤ r i a n d̪̤
chaterine	t͡ʃ h a t e r i n e
chatti	t͡ʃ h a t t i
chaufa	t͡ʃ h a u f a
chaumes	t͡ʃ h a u m e s
chavacano	t͡ʃ h a v a t͡ʃ a n o
chawanmushi	t͡ʃ h a w a n m u s h i
chayei	t͡ʃ h a j e i
chazey	t͡ʃ h a z e j
che	t͡ʃ h e
chebureki	t͡ʃ h e b̤ u r e k i
cheche	t͡ʃ h e t͡ʃ h e
chechnya	t͡ʃ h e t͡ʃ h ɲ a
cheese	t͡ʃ h e e s e
cheetah	t͡ʃ h e e t a h
cheez	t͡ʃ h e e z
chef	t͡ʃ h e f
chelicerata	t͡ʃ h e l i t͡ʃ e r a t a
chelonia	t͡ʃ h e l o n i a
chelow	t͡ʃ h e l o w
chelsea	t͡ʃ h e l s e a
chelyabinsk	t͡ʃ h e l j a b̤ i n s k
chempala	t͡ʃ h e m p a l a
chen	t͡ʃ h e n
cheng	t͡ʃ h e ŋ
cheonggukjang	t͡ʃ h e o ŋ ɡ̤ u k d͡ʒ̤ a ŋ
cheongju	t͡ʃ h e o ŋ d͡ʒ̤ u
cheongwon	t͡ʃ h e o ŋ w o n
cheoyongmu	t͡ʃ h e o j o ŋ m u
cherly	t͡ʃ h e r l j
chermoula	t͡ʃ h e r m o u l a
chernobyl	t͡ʃ h e r n o b̤ j l
cherpumple	t͡ʃ h e r p u m p l e
cherries	t͡ʃ h e r r i e s
cherry	t͡ʃ h e r r j
cherrybelle	t͡ʃ h e r r j b̤ e l l e
cheryl	t͡ʃ h e r j l
chesner	t͡ʃ h e s n e r
chester	t͡ʃ h e s t e r
chettinad	t͡ʃ h e t t i n a d̪̤
cheung	t͡ʃ h e u ŋ
chevassus	t͡ʃ h e v a s s u s
chevrolet	t͡ʃ h e v r o l e t
chevron	t͡ʃ h e v r o n
chex	t͡ʃ h e ks
chey	t͡ʃ h e j
cheye	t͡ʃ h e j e
chhaang	t͡ʃ h h a a ŋ
chhena	t͡ʃ h h e n a
chi	t͡ʃ h i
chiaki	t͡ʃ h i a k i
chiang	t͡ʃ h i a ŋ
chiba	t͡ʃ h i b̤ a
chibi	t͡ʃ h i b̤ i
chicago	t͡ʃ h i t͡ʃ a ɡ̤ o
chich	t͡ʃ h i t͡ʃ h
chicha	t͡ʃ h i t͡ʃ h a
chicharr	t͡ʃ h i t͡ʃ h a r r
chichen	t͡ʃ h i t͡ʃ h e n
chicken	t͡ʃ h i t͡ʃ k e n
chickpea	t͡ʃ h i t͡ʃ k p e a
chico	t͡ʃ h i t͡ʃ o
chiedozie	t͡ʃ h i e d̪̤ o z i e
chieti	t͡ʃ h i e t i
chievo	t͡ʃ h i e v o
chifle	t͡ʃ h i f l e
chigirtma	t͡ʃ h i ɡ̤ i r t m a
chihayaakasaka	t͡ʃ h i h a j a a k a s a k a
chihuahua	t͡ʃ h i h u a h u a
chika	t͡ʃ h i k a
chikhirtma	t͡ʃ h i k h i r t m a
chiko	t͡ʃ h i k o
chikungunya	t͡ʃ h i k u ŋ u ɲ a
chikuwa	t͡ʃ h i k u w a
chikuwabu	t͡ʃ h i k u w a b̤ u
chilaquiles	t͡ʃ h i l a q u i l e s
child	t͡ʃ h i l d̪̤
children	t͡ʃ h i l d̪̤ r e n
chile	t͡ʃ h i l e
chiles	t͡ʃ h i l e s
chili	t͡ʃ h i l i
chilindr	t͡ʃ h i l i n d̪̤ r
chilopoda	t͡ʃ h i l o p o d̪̤ a
chilwell	t͡ʃ h i l w e l l
chim	t͡ʃ h i m
chimborazo	t͡ʃ h i m b̤ o r a z o
chimichanga	t͡ʃ h i m i t͡ʃ h a ŋ a
chimichurri	t͡ʃ h i m i t͡ʃ h u r r i
chin	t͡ʃ h i n
china	t͡ʃ h i n a
chinese	t͡ʃ h i n e s e
ching	t͡ʃ h i ŋ
chingri	t͡ʃ h i ŋ r i
chinsuko	t͡ʃ h i n s u k o
chintami	t͡ʃ h i n t a m i
chinua	t͡ʃ h i n u a
chinualumogo	t͡ʃ h i n u a l u m o ɡ̤ o
chipa	t͡ʃ h i p a
chipmunks	t͡ʃ h i p m u n k s
chipolata	t͡ʃ h i p o l a t a
chipotle	t͡ʃ h i p o t l e
chips	t͡ʃ h i p s
chipwich	t͡ʃ h i p w i t͡ʃ h
chipwrecked	t͡ʃ h i p w r e t͡ʃ k e d̪̤
chironex	t͡ʃ h i r o n e ks
chiroti	t͡ʃ h i r o t i
chistopher	t͡ʃ h i s t o p h e r
chistorra	t͡ʃ h i s t o r r a
chitato	t͡ʃ h i t a t o
chitresh	t͡ʃ h i t r e s h
chittagong	t͡ʃ h i t t a ɡ̤ o ŋ
chitterlings	t͡ʃ h i t t e r l i ŋ s
chiune	t͡ʃ h i u n e
chivito	t͡ʃ h i v i t o
chiyoda	t͡ʃ h i j o d̪̤ a
chlo	t͡ʃ h l o
chloranthales	t͡ʃ h l o r a n ʈ a l e s
chlorpyrifos	t͡ʃ h l o r p j r i f o s
chmielnik	t͡ʃ h m i e l n i k
chnya	t͡ʃ h ɲ a
cho	t͡ʃ h o
chocian	t͡ʃ h o t͡ʃ i a n
chociwel	t͡ʃ h o t͡ʃ i w e l
chocolate	t͡ʃ h o t͡ʃ o l a t e
chocolatero	t͡ʃ h o t͡ʃ o l a t e r o
chodecz	t͡ʃ h o d̪̤ e t͡ʃ z
chodzie	t͡ʃ h o d̪̤ z i e
choi	t͡ʃ h o i
choirul	t͡ʃ h o i r u l
chojn	t͡ʃ h o d͡ʒ̤ n
chojna	t͡ʃ h o d͡ʒ̤ n a
chojnice	t͡ʃ h o d͡ʒ̤ n i t͡ʃ e
choky	t͡ʃ h o k j
chole	t͡ʃ h o l e
cholent	t͡ʃ h o l e n t
cholera	t͡ʃ h o l e r a
cholik	t͡ʃ h o l i k
chomo	t͡ʃ h o m o
chondrichthyes	t͡ʃ h o n d̪̤ r i t͡ʃ h ʈ j e s
chongos	t͡ʃ h o ŋ o s
chongqing	t͡ʃ h o ŋ q i ŋ
chop	t͡ʃ h o p
chorba	t͡ʃ h o r b̤ a
chordata	t͡ʃ h o r d̪̤ a t a
chordate	t͡ʃ h o r d̪̤ a t e
chorip	t͡ʃ h o r i p
chorizo	t͡ʃ h o r i z o
choroszcz	t͡ʃ h o r o s z t͡ʃ z
chorrillana	t͡ʃ h o r r i l l a n a
chorz	t͡ʃ h o r z
chorzele	t͡ʃ h o r z e l e
chos	t͡ʃ h o s
choszczno	t͡ʃ h o s z t͡ʃ z n o
chotpoti	t͡ʃ h o t p o t i
choucroute	t͡ʃ h o u t͡ʃ r o u t e
choux	t͡ʃ h o u ks
chow	t͡ʃ h o w
chowder	t͡ʃ h o w d̪̤ e r
chrain	t͡ʃ h r a i n
chris	t͡ʃ h r i s
christa	t͡ʃ h r i s t a
christchurch	t͡ʃ h r i s t t͡ʃ h u r t͡ʃ h
christensen	t͡ʃ h r i s t e n s e n
christiaan	t͡ʃ h r i s t i a a n
christian	t͡ʃ h r i s t i a n
christiana	t͡ʃ h r i s t i a n a
christie	t͡ʃ h r i s t i e
christina	t͡ʃ h r i s t i n a
christine	t͡ʃ h r i s t i n e
christmas	t͡ʃ h r i s t m a s
christoffel	t͡ʃ h r i s t o f f e l
christoph	t͡ʃ h r i s t o p h
christopher	t͡ʃ h r i s t o p h e r
christophorus	t͡ʃ h r i s t o p h o r u s
christophvon	t͡ʃ h r i s t o p h v o n
christy	t͡ʃ h r i s t j
chrisye	t͡ʃ h r i s j e
chromalveolata	t͡ʃ h r o m a l v e o l a t a
chromobacterium	t͡ʃ h r o m o b̤ a t͡ʃ t e r i u m
chronicle	t͡ʃ h r o n i t͡ʃ l e
chrzan	t͡ʃ h r z a n
chu	t͡ʃ h u
chua	t͡ʃ h u a
chuan	t͡ʃ h u a n
chuba	t͡ʃ h u b̤ a
chubu	t͡ʃ h u b̤ u
chuck	t͡ʃ h u t͡ʃ k
chukat	t͡ʃ h u k a t
chukh	t͡ʃ h u k h
chuks	t͡ʃ h u k s
chukwuemeka	t͡ʃ h u k w u e m e k a
chum	t͡ʃ h u m
chun	t͡ʃ h u n
chuncheon	t͡ʃ h u n t͡ʃ h e o n
chunchullo	t͡ʃ h u n t͡ʃ h u l l o
chung	t͡ʃ h u ŋ
chungcheong	t͡ʃ h u ŋ t͡ʃ h e o ŋ
chungju	t͡ʃ h u ŋ d͡ʒ̤ u
chunhyangjeon	t͡ʃ h u n h j a ŋ d͡ʒ̤ e o n
